,part_number,description_x,lot,qty
1200,R341,Brewers Yeast,"20210416239
",47.00
750,R078,0 Vcaps Plus White Capsules,"V0C5C52-84209
","47,554.00"
469,PS#10227,PERFORMANCE - 250cc Cobalt Blue PET W/M RND 45/400,"091619-250
",468.00
214,PS#10007-ALPHA,300cc White HDPE Bottle 45-400,"P192106
",46.00
1555,R961,Longjack (Eurycoma Longifolia) Root Extract (4:1)Ã¯Â¿Â½,"SB19-H091251
",46.00
168,L#494,Longrich America Int'l Inc. - Cordyceps Militaris Capsule - 60 ct Label,,451.00
189,PS#10002-Berry,120cc White HDPE Bottle 38-400,"R031251
",450.00
1320,R518,Hydroxypropyl Methylcellulose (HPMC),"210104
",450.00
956,R1233,00 K-CAPS Vegetable Origin Capsules,"KC210324647
","450,000.00"
1270,R447,Catuaba Bark Powder,"NIGCABP-2105V058059
",45.2314
1274,R450,Oyster Shell Powder,"064211
",45.22
639,PS#10399,"ULINE LASER LABELS - FLUORESCENT YELLOW, 8 1/2 X 5 1/2",,45.00
661,R008,L-Arginine HCl,"53213016
",449.845
159,L#482,"aSquared Brands, Turmeric Curcumin - 180 ct Label",,444.00
474,PS#10228,44oz White HDPE Canister 120-400,"1
",440.00
1179,R296,Brown Flax Seed Powder,"NIGFXSP-2102V373403
",44.73
947,R1230,Orphic Nutrition Enzyme Blend,"ONEB-LE15
",44.285
405,PS#10176,1 gram Silica gel desiccants,,"44,000.00"
385,PS#10161-ALPHA,250cc Black PET Bottles 45-400 neck finish,"M210620
",438.00
166,L#492,Pogue Medical Services - Free Life Labs Bio-5 - 60 ct Label,,438.00
41,CS#5276,150cc Amber Glass W/M Packer 45-400 24/case,"217448
",432.00
338,PS#10105,25oz White HDPE Canister 89-400 96/case,"M209204
",432.00
273,PS#10025,38-400 White Smooth Lid - Heat Inductive Liner 2300/case,"C77367253
",432.00
323,PS#10094,19 oz White HDPE Canister 89-400 144/PK,"M152546
",432.00
571,PS#10310-ALPHA,150cc Light Amber PET Bottle 38-400,"U204674
",430.00
160,L#483,"Centinela Medical Center, Testosterone Booster - 120 ct Label",,429.00
658,R005,Stearic Acid,"LSB/21-7319
",424.845
264,PS#10023,38-400 Black CRC Ribbed Lid - Pressure Sensitive Liner 1500/case,"20160421021
",420.00
1331,R539,00 Plantcaps Clear Capsules,"7181412
","420,000.00"
734,R064,Povidone K30 (PVP),"YK001S210608A1P
",42.50
418,PS#10191,"38-400 Black lid, smooth sides, pressure sensitive liner","201808499323
",415.00
441,PS#10210,COMAR - 150cc Cobalt Blue PET 38-400 (PX-short),"10465223
",413.00
164,L#490,Supplement Manufacturing Partner - Juvenon Reprieve Capsule - 60 ct - Label,,412.00
235,PS#10012,COMAR-175cc Dark Amber PET Bottle (PX) 38-400 380/case,"10345714
",410.00
438,PS#10210,COMAR - 150cc Cobalt Blue PET 38-400 (PX-short),"F162198
",410.00
316,PS#10083,ALPHA - 150cc Dark Amber PET Bottle 38-400 410/case,"F200747
",410.00
440,PS#10210,COMAR - 150cc Cobalt Blue PET 38-400 (PX-short),"P173144
",410.00
319,PS#10083,ALPHA - 150cc Dark Amber PET Bottle 38-400 410/case,"F180231
",410.00
439,PS#10210,COMAR - 150cc Cobalt Blue PET 38-400 (PX-short),"F162097
",410.00
834,R1097,KSM-66ÃÂ® Ashwagandha Root Extract - Vegan,"KSM/VG/21/S237
",41.375
522,PS#10269,COMAR - 400cc Cobalt Blue PET Bottle PZ 45-400 160/case,"22217416
",41.00
285,PS#10029,45-400 White CRC Ribbed Lid - Heat Inductive Liner 1000/case,"C63799745
",400.00
633,PS#10391,Silver Aluminum 89-400 Lid Foam Liner,"20201230
",400.00
501,PS#10252,COMAR - 300cc Dark Amber PET Bottle 45-400,"21698838
",400.00
301,PS#10062,16 GRAM PURE COIL RAYON,"571-006521
",400.00
445,PS#10211-COMAR,150cc Blue PET Bottle 38-400 PZ (Tall Skinny),"12631696
",400.00
48,CS#5280,Bovine Collagen A,"210317B
",400.00
1021,R1311,Gentian Root (Gentiana lutea),"COLD-C-A002754
",40.67
1097,R158,"Cayenne Pepper Powder (Capsicum annuum) 40,000 hu/g","CLJ-C-A007725
",40.00
383,PS#10153,Polypropylene Beard Nets - White 100/pack,,40.00
1334,R549,00 Gelatin Black 8908.01 Capsules,"7168225
","40,000.00"
1413,R734,00 Gelatin Black Opaque 1975.01/ Red Opaque 1244.01 Capsules,"7159420
","40,000.00"
1434,R792,C3 Reduct ODN,"C181174
",4.987
992,R127,Vitamin E (dl-alpha-tocopherol) Acetate (synthetic) 50%,"VITEA50T-200612
",4.94
842,R1106,Chamomile Flower Powder,"CYGJ-E-A001667
",4.87
1540,R938,SAM-e (S-Adenosyl Methionine Tosylate Disulfate),"C200602
",4.86
1165,R262,Copper Gluconate 13%,"1000369
",4.845
835,R1099,CarnositolÃÂ® D-Chiro-Inositol,"108648
",4.826
1104,R171,Banaba PE 1%,NIGBN1U-2008V4371504,4.80
893,R116,Ginkgo Biloba Leaf Extract (24% Flavones),"GIN24D-191218
",4.777
857,R1124,Fucoidan 85%,"21061605
",4.75
1032,R1322,Organic Ginkgo Biloba P.E. 50:1,"YNAT-HK2010203R
",4.71
740,R069,Choline Dl-Bitartrate,"200200736
",4.65
1303,R479,Collagen Chicken Type II Hydrolyzed,"20190816
",4.623
695,R037,Yucca Root Powder,"YP1-061221-1973
",4.60
2,CS#5038,L-Arginine AKG 2:1 Dihydrate,"C541909231
",4.593
1191,R321,Parsley Leaf Powder,"SBS-S100695
",4.558
1430,R772,Horny Goat Weed (Epimedium) Extract 20% Icariins,"20170302
",4.545
1184,R304,Dong Quai Root Extract 4:1,"SB19-H081099
",4.539
20,CS#5260,Beef Heart,"21PH31/176546E
",4.50
1398,R701,Acesulfame Potassium (Ace K),"20180827
",4.494
981,R1257,Arnica Montana Powder,"TRF-20210218
",4.477
1025,R1317,Hydrolyzed Eggshell Membrane [Egg Allergen] (Nutra Food Ingredients),"4113050
",4.459
996,R1273,L-Leucine (fermented) (Origin: Non-Chinese),"1439287101
",4.40
1230,R392,Cat's Claw Bark P.E. 4:1,"SB20H010013
",4.371
1321,R524,Soy Lecithin,"CMDDLLZ-E-900141
",4.34
753,R083,Turmeric Root Powder,"PEIPL/FGTP/00222
",4.30
787,R1034,Codonopsis Extract 4:1,"DST-210222
",4.22
894,R1161,Panax Ginseng Extract 10% Ginsenosides,"GI20210120
",4.20
1309,R497,Goldenseal Herb Powder,"20200415
",4.131
933,R1211,Kanna (Sceletium Tortuosum) P.E. 20:1,"200415
",4.078
809,R1062,Garlic Extract 10:1,"SB19-H070979
",4.028
1137,R221,Vitamin B2 Riboflavin,"H202012014FM
",4.018
1297,R471,Chamomile Extract 4:1,"YGJ-190411
",4.013
747,R076,Iron (Ferrous) Fumarate,"2021/136
",4.00
789,R1036,Turmeric Root Extract 4:1 (Natural),"TUR10-200718
",4.00
1029,R1320,Pregnenolone,"07200607
",4.00
612,PS#10364,.05x65x500 Clear Roll,,4.00
651,PS#10415,".05x77x500 Roll Clear W/Black Print ""SFYP"" W/Vertical Perf","10415
",4.00
1092,R152,Vitamin B1 Thiamine Mono,"Y02202101010
",4.00
1015,R1308,3nBÃÂ® Celery Seed Extract (42.5% phthalides) (Apium graveolens),"1013.10
",4.00
625,PS#10385,"Molded Rubber Bumper - 11-3/8""W x 12-1/2""L x 3-1/2""H","000
",4.00
912,R1181,Heme Iron Polypeptide (5% Iron),"TRF-20201012
",4.00
623,PS#10375,"Thin Trash Can - 23 Gallon, Gray",,4.00
858,R1127,CherryPUREÃÂ® (Tart Cherry Fruit Extract),"215FL082-D6
",4.00
1068,R136,Citrus Pectin Powder,"SBT-S110970
",4.00
408,PS#10179,".05x67x500M Clear with black print ""S4YP"" & Vert. Perforation","10192
",4.00
741,R070,PABA (Para-Aminobenzoic Acid),"SB20-H101643
",4.00
618,PS#10370,.05x80x500 Clear W/ Vert. Perf. Roll,"10370
",4.00
247,PS#10016-COMAR,200cc Clear PET PZ Bottle 38-400 335/case,"22217551
","4,980.00"
330,PS#10102,MRP-38-400 Red Ribbed Lid - Heat Inductive Liner,"202103600208
","4,900.00"
349,PS#10108,45-400 Black Ribbed Lid - Heat Seal Liner 2750/case,"202109617705
","4,600.00"
451,PS#10214,"45-400 Blue Ribbed, Pressure Sensitive 22 liner pantone color 286","201902519850
","4,595.00"
304,PS#10065,10 gram Desiccants,"B21190
","4,500.00"
144,L#367,"Regentec Ptd Lte, Joint Support NATURAL Color Coated Tablets - 180ct Label",,"4,500.00"
463,PS#10220,COMAR-100cc Clear PET Bottle 38-400,"8589480
","4,480.00"
206,PS#10005,COMAR - 200cc White HDPE Bottle 38-400 320/case,"22420965
","4,480.00"
133,L#282,"aSquared Brands, DHEA 100mg - 200ct Label",,"4,420.00"
249,PS#10018-TIM,500cc White PET Bottle 45-400 140/case,"Y045025
","4,340.00"
250,PS#10018-TIM,500cc White PET Bottle 45-400 140/case,"Y045025
","4,200.00"
471,PS#10227-ALPHA,250cc Cobalt Blue PET W/M RND 45/400 270/cse,"U191374
","4,197.00"
388,PS#10161-ALPHA,250cc Black PET Bottles 45-400 neck finish,"P212511
","4,050.00"
562,PS#10306,"Yellow 3 x 5"" HOLD Slip - Inventory 1000/Roll","S-458
","4,000.00"
550,PS#10298,"45-400 Black Smooth Sides Lid, Heat Seal Liner","202006577289
","4,000.00"
322,PS#10087,36 x 4mm Clear neckband,"10087
","4,000.00"
580,PS#10320,.05x205x190 Clear No Perf Cutband,,"4,000.00"
217,PS#10007-ALPHA,300cc White HDPE Bottle 45-400,"P205560
",399.00
156,L#473,"Acton Barnsley Limited, SyntMos - 120 ct Label",,392.00
1454,R826,Sodium Beta Hydroxybutyrate (BHB),"BS20210502
",39.845
1354,R611,Ascorbyl Palmitate,"210512288
",39.845
167,L#493,"Just Jandi, LLC - Multi Collagen Complex Powder - 48 serving Label",,39.00
414,PS#10185,BERRY - 250cc White HDPE bottle 45-400,"19-16192
",385.00
573,PS#10310-ALPHA,150cc Light Amber PET Bottle 38-400,"U203359
",380.00
192,PS#10003,COMAR-150cc White HDPE Bottle 38-400 450/case,"5707064
",380.00
232,PS#10011,175cc Clear PET Bottle 38-400 420/case,"U161121
",375.00
1404,R710,Ginger Root Powder,"CSJ-A-802481
",371.80
520,PS#10268,ALPHA - 250cc Dark Amber PET Bottle 45-400,"M204895
",370.00
31,CS#5264,Beef Lung,"98512
",37.50
1183,R301,SC90 (Cellulose),"201141
",37.00
583,PS#10325-ALPHA,175cc Dark Amber PET Bottle 38-400,"13536431
",364.00
243,PS#10015-ALPHA,200cc Black PET Bottle 38-400,"P204851
",361.00
380,PS#10147,14x12x14 Boxes,,360.00
1495,R878,Calcium Silicate,"17161
",36.28
19,CS#5259,Beef Liver,"21PH31177014
",36.00
22,CS#5260,Beef Heart,"20PH31/176546
",36.00
527,PS#10269-ALPHA,400cc Cobalt Blue PET Bottle 45-400,"F202390
",355.00
509,PS#10256,70-400 Black Lid Smooth Side Pressure Sensitive liner,"202000256317
",350.00
1340,R560,Opadry White 03B18344,"WP833014
",350.00
592,PS#10339,Dri-CardÃ¢ÂÂ¢ Desiccants - Gram Size 1.21,"S-19582
",350.00
1245,R413,Croscarmellose Sodium,"CO011/20
",35.90
32,CS#5267,Beef Pancreas,"20PH31-177867 E
",35.87
33,CS#5268,Beef Spleen,"202315
",35.87
1399,R704,Trisodium Citrate Dihydrate,"02020667
",35.4846
365,PS#10125,"Polypropylene Bouffant Caps - 24"", Blue 100 / pack",,35.00
355,PS#10114,INNOVATIVE-89-400 Black Smooth Lid - Heat Seal Liner,"JR0044032
",35.00
960,R1234,00 Vcaps Plus Purple Carrot STD. PURPLE TR. V27.901,"9042435
","35,800.00"
327,PS#10097,175cc White HDPE Bottle 45-400,"V161868
",346.00
566,PS#10307-ALPHA,250cc Light Amber PET Bottle 45-400,"U202887
",342.00
1133,R218,L-Glutamine,"1210211022
",34.588
1278,R452,Sarsaparilla Extract 4:1,"BQT-201120
",34.00
262,PS#10022,38-400 Black Ribbed Lid - Pressure Sensitive Liner 3100/case,"JR00018702
","34,000.00"
245,PS#10016,ALPHA-200cc Clear PET Bottle 38-400 335/case,"P191332
",335.00
510,PS#10256,70-400 Black Lid Smooth Side Pressure Sensitive liner,"P193037
",330.00
503,PS#10252,COMAR - 300cc Dark Amber PET Bottle 45-400,"8568268
",330.00
274,PS#10026,38-400 Black Ribbed Lid - Heat Inductive Liner Matte Top 2900/case,"202012593249
",330.00
446,PS#10211-COMAR,150cc Blue PET Bottle 38-400 PZ (Tall Skinny),"13329014
",330.00
1,CS#5005,Potassium Iodate,"20210326189
",33.635
656,R002,PEG 8000 Carbowax (Polyethylene Glycols),"D684K2FEB1
",33.46
905,R1175,Organic Irish Moss Powder (Origin: Non-Chinese),"9928
",325.487
1102,R169,Magnesium Stearate,"MGST0K2008
",324.845
476,PS#10230,COMAR - 150cc Clear PET Bottle 38-400,"9349801
",324.00
207,PS#10005,COMAR - 200cc White HDPE Bottle 38-400 320/case,"10942557
",320.00
287,PS#10030,8 oz White HDPE Single Wall Jar 70-400,"M184233
",320.00
289,PS#10036,70-400 White Pressure Sensitive Smooth Lid,"201804484631
",320.00
449,PS#10212,32oz Black PET Cannister 89-400,"CP3289B101819
",315.00
162,L#486,Be Fulfilled - Exhale PM - 90 ct Label,,314.00
172,L#502,Dr. Rath International Inc. - YouCell-V - 60 ct Label,,312.00
450,PS#10212,32oz Black PET Cannister 89-400,"CP3289BK012419
",311.00
1187,R310,Organic Kelp Powder,"4443
",31.909
1469,R843,Organic Black Maca Powder (Gelatinized),"OMGB-201809-26
",31.721
916,R1191,Organic Elderberry Fruit Powder (Sambucus nigra),"CJGM-C-A007192
",31.00
297,PS#10049,Black Powder Free Nitrile Gloves - Medium 100 / box,,31.00
582,PS#10324,14x14x18 Box,,31.00
12,CS#5197,58-400 Black Smooth Lid - Heat Inductive Liner,,304.00
616,PS#10368,23cc Long Handle Clear Scoop 4.75in,"4330985
",301.00
190,PS#10002-Berry,120cc White HDPE Bottle 38-400,"C81456292
",300.00
233,PS#10012,COMAR-175cc Dark Amber PET Bottle (PX) 38-400 380/case,"4359159
",300.00
15,CS#5203,38-400 Gold Smooth Lid - Pressure Sensitive Liner,,300.00
631,PS#10390,14x12x14 Double Wall Box,,300.00
307,PS#10069,10x10x10 DW boxes,,300.00
459,PS#10219,ALPHA - 225cc Cobalt Blue PET Bottle 45-400,"M161697
",300.00
953,R1233,00 K-CAPS Vegetable Origin Capsules,"KC210320344
","300,000.00"
1357,R619,0 Red/White Gelatin Capsules with Logo,"7152147
","300,000.00"
1558,R965,0 Gelatin Capsule Black Body 1975.01 and Pink Cap 4312.01,"7165882
","300,000.00"
1511,R902,Mineral Oil Powder,"15396
",30.93
829,R109,Lutein 5%,"KSLU210310-1
",30.82
498,PS#10250,"TRASH CAN - 32 GALLON, GRAY","H-1045GR
",30.00
525,PS#10269,COMAR - 400cc Cobalt Blue PET Bottle PZ 45-400 160/case,"10336105
",30.00
533,PS#10281,"TRASH CAN FLAT LID - 32 GALLON, GRAY","H-1048GR
",30.00
1474,R850,00 Gelatin Purple Opaque 3473.01 Capsules,"7168224
","30,000.00"
1439,R802,00 Gelatin Orange Opaque 3185.01 Capsules,"7170998
","30,000.00"
1317,R511,0 Gelatin Blue 0570.01 Capsules,"7163736
","30,000.00"
1253,R421,Tongkat Ali Extract 200:1,"CDGAL-C-A033884
",3.954
1188,R312,"Papain 2,000 USP/g","SBT-S030237
",3.91
1457,R830,L-Tryptophan,"20201117
",3.91
1341,R572,Chondroitin Sulfate (Porcine) 90%,"022421
",3.90
1142,R231,N-Acetyl L-Carnitine HCl,"ALC190501
",3.846
1234,R400,N-Acetyl L-Cysteine,"201706122
",3.82
699,R042,Ashwagandha Root Extract (2.5% Withanolides),NIGWS25-2008V4371517,3.80
1562,R973,Kale Extract 5:1,"KA20171029
",3.776
1505,R897,Eleuthero Root Extract 35:1 (Eleutherococcus Senticosus) (Siberian Ginseng),"SBQ-S121035-35H
",3.776
1409,R732,Turmeric Extract 95% Curcuminoids - Natural,"CP20200301
",3.733
833,R1096,Copper Gluconate 14%,"20190325
",3.723
1125,R208,Nettle Leaf Powder,"CQMY-C-A021055
",3.72
1458,R831,Methyl Hesperidin,"H010161419A
",3.702
824,R1082,Copper Oxide,"20180418
",3.669
1262,R439,Coleus Forskolin Extract 4:1,"MHQRH-201116
",3.63
1139,R226,5-HTP (L-5 Hydroxytryptophan),"C062107021
",3.618
1504,R896,Organic Sunflower Lecithin,"20180618
",3.602
702,R045,L-Theanine,"20201105
",3.548
1476,R852,Nettle Root Powder,"LN190720-R
",3.541
1374,R664,RNA (Ribonucleic Acid),"2018072501
",3.538
1171,R273,Zinc Citrate 30%,"551907
",3.526
768,R1013,Asparagus Extract 10:1,"ASP20201022-1
",3.498
1049,R134,Chlorella Powder,"SBT-S050477
",3.396
1242,R408,Horny Goat Weed (Epimedium Extract) P.E. 4:1,"SB18-H050776
",3.364
805,R1059,Molybdenum Glycinate ChelateÃ¯Â¿Â½asÃ¯Â¿Â½TRAACSÃ¯Â¿Â½,"18354601
",3.345
930,R1208,Lemon Balm Extract (5% Rosmarinic Acid HPLC),"CXFC-A-902108
",3.298
1461,R835,Coral Calcium,"SBR-S080678
",3.275
853,R1120,Uridine 5'-monophosphate,"20210812
",3.207
1426,R767,St. John's Wort Extract 0.3% Hypericins,"CGYLQ-C-A007521
",3.20
1203,R346,Larch Arabinogalactan Powder,"LAP/18-11-264
",3.173
1443,R807,Chamomile Extract 10:1,"SB20-H060850
",3.12
1190,R321,Parsley Leaf Powder,"SBU-S020100
",3.11
1449,R817,"Beta-1,3 / 1,6-Glucan 70%","BE200319
",3.078
1518,R911,Aloe Vera Extract 10:1 (Organic),"CLH-A-902811
",3.032
370,PS#10134,"190 x 28 Neckband - 1,000 / carton",,3.00
648,PS#10412,"Uline Stick Staples - C58 5/8""",,3.00
296,PS#10048,Black Powder Free Nitrile Gloves - Large 100 / box,,3.00
1052,R1343,Baicalin (from Scutellaria baicalensis extract),"200413
",3.00
407,PS#10178,.05x66x500M Clear w/vertical perf rollstock,"10-04-2021
",3.00
1000,R1281,"Vitamin D3 Cholecalciferol (Origin: Non-Chinese) (100,000 IU/g)","CWD1D20026
",3.00
404,PS#10175,MaxÃ¯Â¿Â½ Earplugs - Corded 100 pairs/box,,3.00
962,R1239,Curcumin C3 ComplexÃÂ® (0330-Extract Powder),"J200782
",3.00
468,PS#10225,"ULINE ECONOMY LAB COAT WITH NO POCKETS - NAVY, XL","S-9636W
",3.00
467,PS#10225,"ULINE ECONOMY LAB COAT WITH NO POCKETS - NAVY, XL","123
",3.00
284,PS#10029,45-400 White CRC Ribbed Lid - Heat Inductive Liner 1000/case,"C61068797
","3,992.00"
413,PS#10185,BERRY - 250cc White HDPE bottle 45-400,"21-20188
","3,944.00"
165,L#491,"aSquared Brands, Methyl Folate 15mg + Glycine 250mg - 90 ct Label",,"3,924.00"
252,PS#10018-TIM,500cc White PET Bottle 45-400 140/case,"Y075022
","3,907.00"
399,PS#10168,8 oz Black PET Canister (70-400),"P201754
","3,840.00"
372,PS#10137,38-400 White Ribbed Lid - Heat Seal Vented Liner,"JR00049624
","3,800.00"
444,PS#10211-ALPHA,150cc Blue PET Bottle 38-400 (Tall Skinny),"U203256
","3,690.00"
572,PS#10310-ALPHA,150cc Light Amber PET Bottle 38-400,"U204238
","3,660.00"
188,PS#10002-Berry,120cc White HDPE Bottle 38-400,"21-20199
","3,600.00"
359,PS#10118,53-400 Red Lid - Pressure Sensitive liner 1200/case,"C0087430
","3,600.00"
275,PS#10026,38-400 Black Ribbed Lid - Heat Inductive Liner Matte Top 2900/case,"202106610917
","3,543.00"
518,PS#10268,ALPHA - 250cc Dark Amber PET Bottle 45-400,"M210004
","3,510.00"
253,PS#10018-TIM,500cc White PET Bottle 45-400 140/case,"Y045025
","3,360.00"
406,PS#10177,.625cc Natural short handle scoop,"19401
","3,220.00"
141,L#352,"Number One Nutrition, White Mulberry Leaf Extract - 200 ct Label",,"3,152.00"
251,PS#10018-TIM,500cc White PET Bottle 45-400 140/case,"Y075022
","3,150.00"
560,PS#10304,250cc Amber Glass packers 45-400 (12 pack),"648212
","3,048.00"
538,PS#10287,MRP-38-400 Blue Ribbed Lid - Heat Inductive Liner pantone color 286 (Custom Lid),"202001560164
","3,044.00"
403,PS#10173,38-400 Black Smooth Lid - Heat Inductive Liner,,"3,040.00"
42,CS#5276,150cc Amber Glass W/M Packer 45-400 24/case,"9014933
","3,000.00"
431,PS#10202,"Yellow 3 X 5"" HOLD Slip - Pull & Weigh Dept 1000/Roll",,"3,000.00"
563,PS#10306,"Yellow 3 x 5"" HOLD Slip - Inventory 1000/Roll","1Z4415
","3,000.00"
882,R1147,Magnesium Ascorbate 6.4%,"0001023854
",299.87
163,L#489,"Spartis, LLC, Immune Complex - 120 ct Label",,297.00
239,PS#10014,200cc Dark Amber PET Bottle 38-400 290/case,"T092051
",290.00
557,PS#10302,89-400 Black Ribbed Lid - Heat Induction liner,"JR00045982
",290.00
29,CS#5263,Beef Brain,"M-2113807
",29.88
1422,R755,Magnesium Glycinate 20%,"GMFA18006
",29.773
605,PS#10353,10x9x6 Box,,29.00
334,PS#10104,45-400 White Ribbed Lid - Heat Inductive Liner 2000/case,"JR00051546
","29,279.00"
324,PS#10094,19 oz White HDPE Canister 89-400 144/PK,"M151439
",288.00
11,CS#5196,4 oz Clear Type III Glass Jar 58-400,,288.00
423,PS#10193-COMAR,225cc Clear PET Bottle 45-400 335/case (PX),"10306569
",287.00
240,PS#10014,200cc Dark Amber PET Bottle 38-400 290/case,"P204851
",285.00
153,L#465,"Dr. Rath International, Inc., Phytobiologicals Basic Formula - 60 ct Label",,281.00
636,PS#10396-OPI,400cc Clear PET Bottle 45-400,"46319
",280.00
211,PS#10006-ALPHA,225cc White HDPE Bottle 45-400 280/case,"P201772
",280.00
1327,R539,00 Plantcaps Clear Capsules,"7181409
","280,000.00"
765,R1007,Organic Siberian Eleutherococcus Root,"CCWJ-C-907831
",28.628
1261,R433,00 Gelatin Blue 0570.01 Capsules,"7179266
","28,373.00"
422,PS#10193-COMAR,225cc Clear PET Bottle 45-400 335/case (PX),"11807990
",277.00
212,PS#10006-ALPHA,225cc White HDPE Bottle 45-400 280/case,"P201136
",275.00
512,PS#10259,COMAR-250cc Clear PET PZ 45-400 300/case,"9927588
",270.00
1448,R817,"Beta-1,3 / 1,6-Glucan 70%","20191215069
",27.984
1058,R1350,Organic Raspberry Leaf Extract 10:1,"HK210809
",27.535
782,R1032,Iron (Ferrous Sulfate),"1908416
",27.00
219,PS#10007-ALPHA,300cc White HDPE Bottle 45-400,"21640587
",269.00
1256,R427,Psyllium Husk 85%,"CYCQZK-A-05254
",260.00
246,PS#10016-COMAR,200cc Clear PET PZ Bottle 38-400 335/case,"6379238
",260.00
920,R1196,Orange Juice Powder (Non-GMO),"CTC-C-A002903
",26.70
944,R1225,Blueberry Extract 5:1,"BB20011310
",26.70
979,R1256,Natural Caffeine Anhydrous (from Coffee Robusta),NDP219-18-90189-9038,26.00
374,PS#10137,38-400 White Ribbed Lid - Heat Seal Vented Liner,"202106608418
","26,528.00"
375,PS#10138,38-400 White CRC Lid - Pressure Sensitive Liner,,258.00
684,R027,Vitamin B3 Niacinamide,"2105009
",257.182
213,PS#10006-ALPHA,225cc White HDPE Bottle 45-400 280/case,"P210782
",255.00
186,PS#10002,120cc White HDPE Bottle 38-400 450/case,"SE81295TN
",250.00
420,PS#10193-COMAR,225cc Clear PET Bottle 45-400 335/case (PX),"11248179
",250.00
589,PS#10335,67cc Natural Long Handle Scoop,"4328416
",250.00
400,PS#10168,8 oz Black PET Canister (70-400),"P200328
",250.00
234,PS#10012,COMAR-175cc Dark Amber PET Bottle (PX) 38-400 380/case,"3559159
",250.00
1167,R269,Beef Liver Powder S.D.,"95F00213
",25.87
995,R1272,Organic Cinnamon Ceylon Powder (Cinnamomum verum),"S381701FGTCP02
",25.571
903,R1174,Organic Burdock Root Powder (Origin: Non-Chinese),"OBRP-06222021
",25.312
1182,R298,Zinc Aminomin 20%,"545100
",25.065
113,FG337,Turmeric w/Bioperine - Sample Bottle 60ct,"11196-60
",25.00
114,FG338,Turmeric w/Ginger - Sample Bottle 60ct,"11101-60
",25.00
836,R110,Organic Turmeric Powder,"CP20200752
",25.00
1385,R692,DiCreatine Malate,"201202
",25.00
89,FG312,Krill- Sample Bottle 30ct,"430527002-60
",25.00
115,FG339,Ultra Test Natural Testosterone Support - Sample Bottle 90ct,"UT80417-90
",25.00
116,FG340,Mens Multiple Vitamin - Sample Bottle 60ct,"MMV80508-60
",25.00
117,FG341,Women Multiple Vitamin - Sample Bottle 60ct,"WMV80510-60
",25.00
95,FG317,Male Enhancement - Sample Bottle 60ct,"11070-60
",25.00
90,FG313,K2 D3 Max - Sample Bottle 60ct,"K2D81208-60
",25.00
91,FG314,L-Arginine NO Blast - Sample Bottle 60ct,"AR71212-60
",25.00
101,FG323,Resto Night Recovery - Sample Bottle 150ct,"RES81009-150
",25.00
1313,R502,Oat Straw (Avena Sativa) P.E. 10:1,"20200316
",25.00
99,FG321,Natural PCT - Sample Bottle 60ct,"NP80509-60
",25.00
103,FG325,Organic Coconut/MCT Oil - Sample Bottle 60ct,"1736205B-60
",25.00
105,FG329,Probiotic 40 - Sample Bottle 60ct,"B80927-60
",25.00
106,FG330,Prostate Formula - Sample Bottle 60ct,"PR81030-60
",25.00
107,FG331,Psyllium Husk - Sample Bottle 60ct,"AD90114-60
",25.00
98,FG320,Moringa Pure - Sample Bottle 60ct,"MOR80120-60
",25.00
108,FG332,Resveratrol 50% 600mg - Sample Bottle 60ct,"RTV90201-60
",25.00
109,FG333,Saffron 88.5mg - Sample Bottle 60ct,"SAF80603-60
",25.00
97,FG319,MCT Oil - Sample Bottle 60ct,"1736205B-60
",25.00
1220,R377,DiCalcium Phosphate Anhydrous,"21031601
",25.00
96,FG318,Max Detox - Sample Bottle 60ct,"AD90114-60
",25.00
1339,R560,Opadry White 03B18344,"WP829849
",25.00
129,FG352,African Mango Ultra- Sample Bottle 60ct,"RKU80809-60
",25.00
126,FG349,Pet Tooth Health - Sample Bottle 60ct,"10935-60
",25.00
125,FG348,Pet Eye Health - Sample Bottle 60ct,"10935-60
",25.00
124,FG347,Pet Hair and Coat - Sample Bottle 60ct,"10935-60
",25.00
123,FG346,Total Pet Health - Sample Bottle 60ct,"10935-60
",25.00
121,FG345,Diabetic Support - Sample Bottle 60ct,"WMB60601-60
",25.00
120,FG344,White Kidney Bean - Sample Bottle 60ct,"WKB80504-60
",25.00
111,FG335,Tribulus Pure 90ct - Sample Bottle 60ct,"TRB80810-90
",25.00
850,R1116,Anise Seed Extract 4:1,"SA19090700
",25.00
112,FG336,Platinum Turmeric - Sample Bottle 60ct,"PTU81113-60
",25.00
92,FG315,Liver Support - Sample Bottle 60ct,"LIV81013-60
",25.00
119,FG343,Water Shed - Sample Bottle 120ct,"WT060917-120
",25.00
118,FG342,Vitamin D3 - Sample Bottle 60ct,"0117435-60
",25.00
104,FG327,Phytoceramides - Sample Bottle 30ct,"PY305265
",25.00
76,FG298,Forskolin 125mg - Sample Bottle 60ct,"CF61215-60
",25.00
63,FG286,Caralluma - Sample Bottle 60ct,"CAR80824-60
",25.00
66,FG289,CLA - Sample Bottle 60ct,"0118026
",25.00
81,FG303,Garcinia Cambogia Pure 750mg w/80% - Sample Bottle 60ct,"GP70121-60
",25.00
80,FG302,Garcinia Complex 500mg w/60% Gel Caps- Sample Bottle 60ct,"GCG70916-60
",25.00
79,FG301,Garcinia Cambogia Complex 700mg w/95% - Sample Bottle 180ct,"GC71216-180
",25.00
