,Part,Description,UOM,OnHand,Allocated,NotAvailable,DropShip,Available,OnOrder,Committed,Short
0,BG001,"Power Clean Pet Tablet - Bulk - Power Clean 2000, Inc.",thou,0.00,0.00,0.00,0.0,0.00,1.00,0.00,0.00
1,BG004,Super Memory Formula - Bulk - New Age Products,thou,0.00,0.00,0.00,0.0,0.00,1.00,0.00,0.00
2,BG007,Lutein Eye Tablet - 7/16 Round Yellow - Bulk - Ameta,thou,0.00,550.00,0.00,0.0,0.00,550.00,0.00,550.00
3,BG009,Lutein Eye Tablet - Medium Oval Yellow - Bulk - Ameta,thou,0.00,"1,320.00",0.00,0.0,0.00,"1,320.00",0.00,"1,320.00"
4,BG021,White Mulberry Pure 500 mg - Bulk - Vox,thou,0.00,0.00,0.00,0.0,0.00,1.00,0.00,0.00
5,BG025,Lutein Eye Tablet - Medium Oval Blue - Bulk - Ameta,thou,0.00,"1,100.00",0.00,0.0,0.00,"1,100.00",0.00,"1,100.00"
6,BG035,Nitric Shock Pre Workout (Fruit Punch) - Bulk Powder - Vox Nutrition,kg,0.00,5.00,0.00,0.0,0.00,0.00,0.00,5.00
7,BG038,Male Enhancement - Bulk - Vox Nutrition,thou,0.00,"5,500.00",0.00,0.0,0.00,"5,500.00",0.00,"5,500.00"
8,BG041,Potassium Iodate 170 mg - Bulk - Eversco,tab,0.00,"700,000.00",0.00,0.0,0.00,"700,000.00",0.00,"700,000.00"
9,BG043,Superflex - Bulk Powder - Kirk Steirwalt,kg,0.00,"2,779.00",0.00,0.0,0.00,"2,779.00",0.00,"2,779.00"
10,BG050,Joint Support - Bulk - Regentec Pte Ltd,tab,0.00,"22,159,830.00",0.00,0.0,0.00,"22,365,000.00",0.00,"22,159,830.00"
11,BG101,Ocu Plus Multi - Bulk - Rebuild Your VIsion,tab,0.00,"391,376.00",0.00,0.0,0.00,"392,000.00",0.00,"391,376.00"
12,BG119,Force X7 Testosterone Booster - Bulk - Alpha Wolf Nutrition,thou,0.00,389.298,0.00,0.0,0.00,390.00,0.00,389.298
13,BG121,5-HTP - Bulk - Vox Nutrition,cap,0.00,"5,218,000.00",0.00,0.0,0.00,"4,950,000.00",0.00,"5,218,000.00"
14,BG139,Herb Tablet - Bulk - Ameta,thou,0.00,660.00,0.00,0.0,0.00,660.00,0.00,660.00
15,BG142,Heilen Med Fertile Easy - Bulk - Med Dent Company,thou,0.00,391.437,0.00,0.0,0.00,392.00,0.00,391.437
16,BG189,Herb Capsule - Bulk - Ameta,cap,"293,900.00","330,000.00",0.00,0.0,0.00,0.00,"293,900.00","36,100.00"
17,BG195,Vitamin C Tablet - Bulk - Ameta,thou,0.00,330.00,0.00,0.0,0.00,330.00,0.00,330.00
18,BG205,Multi Vitamin Tablet - Bulk - Ameta,tab,0.00,"550,000.00",0.00,0.0,0.00,"550,000.00",0.00,"550,000.00"
19,BG218,Platinum Turmeric - Bulk - Vox Nutrition,cap,0.00,"4,400,000.00",0.00,0.0,0.00,"4,400,000.00",0.00,"4,400,000.00"
20,BG236,Sea Moss Plus - Bulk - TC Best LLC / BEAUTY'S 7 / O Nutritions,cap,0.00,"2,013,000.00",0.00,0.0,0.00,"2,013,000.00",0.00,"2,013,000.00"
21,BG249,Lutein Eye Tablet - 7/16 Round Light Green - Bulk - Ameta,tab,0.00,"600,000.00",0.00,0.0,0.00,"550,000.00",0.00,"600,000.00"
22,BG283,Natu Roids - Bulk - Nature Gains LLC,cap,0.00,"479,820.00",0.00,0.0,0.00,"400,000.00",0.00,"479,820.00"
23,BG302,"Healthy Cell Growth / Epiquercican - Bulk - Dr. Rath International, Inc.",tab,0.00,"443,088.00",0.00,0.0,0.00,0.00,0.00,"443,088.00"
24,BG329,LysinC Drink Mix (Orange) - Bulk Powder - Dr. Rath International Inc.,kg,0.00,"2,798.40",0.00,0.0,0.00,"2,782.00",0.00,"2,798.40"
25,BG337,"VitaCForte (Capsule) - Bulk - Dr. Rath International, Inc.",cap,0.00,"665,500.00",0.00,0.0,0.00,"666,000.00",0.00,"665,500.00"
26,BG350,Turmeric w/ BioPerine (Organic Ingredients) - Bulk - Vox Nutrition,cap,0.00,"66,645,000.00",0.00,0.0,0.00,"66,000,000.00",0.00,"66,645,000.00"
27,BG351,Turmeric w/ Ginger (Organic Ingredients) - Bulk - Vox Nutrition,cap,0.00,"61,773,000.00",0.00,0.0,0.00,"60,500,000.00",0.00,"61,773,000.00"
28,BG359,VitaGlu Immune Plus Capsule - Bulk - Pharmzens,cap,0.00,"332,750.00",0.00,0.0,0.00,"333,000.00",0.00,"332,750.00"
29,BG411,Sea Moss Capsule - Bulk - Supplement Manufacturing Partners,cap,0.00,"76,000.00",0.00,0.0,0.00,0.00,0.00,"76,000.00"
30,BG425,Custom Beef Organ Complex Capsule - Bulk - VALKYRIE HAUS INC,cap,0.00,"711,873.00",0.00,0.0,0.00,"712,000.00",0.00,"711,873.00"
31,BG426,"Immune Complex - Bulk - Spartis, LLC",cap,0.00,"5,324,000.00",0.00,0.0,0.00,"5,313,000.00",0.00,"5,324,000.00"
32,BG432,MWO KSM-66 Ashwagandha Capsule - Bulk - Growth & Peace / ILTERVET,cap,0.00,"335,500.00",0.00,0.0,0.00,"336,000.00",0.00,"335,500.00"
33,BG433,Shoden Ashwagandha Capsule - Bulk - Growth & Peace / ILTERVET,cap,0.00,"331,962.00",0.00,0.0,0.00,"332,000.00",0.00,"331,962.00"
34,BG441,Triple Slimming Advance Step 3 - Bulk - Revival Point LLC,cap,"357,000.00","385,000.00",0.00,0.0,0.00,0.00,"357,000.00","28,000.00"
35,BG443,Autoimmune Mushroom Formula - Bulk - Wild Wholistic Inc.,cap,"375,772.00","391,437.00",0.00,0.0,0.00,0.00,0.00,"15,665.00"
36,BG445,Turkesterone - Bulk - Nature Gains LLC,cap,0.00,"521,268.00",0.00,0.0,0.00,"522,000.00",0.00,"521,268.00"
37,BG448,Arousal Boosting Formula - Bulk - Supernatural Man LLC,cap,0.00,"26,000.00",0.00,0.0,0.00,0.00,0.00,"26,000.00"
38,BG449,Energy Recharge Blend - Bulk - Supernatural Man LLC,cap,0.00,"47,000.00",0.00,0.0,0.00,0.00,0.00,"47,000.00"
39,BG450,Activated Desire Blend - Bulk - Supernatural Man LLC,cap,0.00,"13,000.00",0.00,0.0,0.00,0.00,0.00,"13,000.00"
40,BG451,Magnesium Glycinate - Bulk Tablets - Vox Nutrition,tab,0.00,"3,300,000.00",0.00,0.0,0.00,"6,000,000.00",0.00,"3,300,000.00"
41,BG452,Zinc & Vit D - Bulk - Erta Ale LLC,cap,0.00,"1,342,000.00",0.00,0.0,0.00,"1,342,000.00",0.00,"1,342,000.00"
42,BG453,"Morning Rx - Bulk - Hangover ZERO, LLC",cap,0.00,"558,800.00",0.00,0.0,0.00,"559,000.00",0.00,"558,800.00"
43,BG454,Menopause Support Supplement - Bulk - Number One Nutrition,cap,0.00,"391,437.00",0.00,0.0,0.00,"392,000.00",0.00,"391,437.00"
44,BG455,Multivitamin Capsule - Bulk - LONGEV PTE. LTD.,cap,0.00,"303,303.00",0.00,0.0,0.00,"304,000.00",0.00,"303,303.00"
45,BG456,"Quercetin, Bromelain & Zinc - Bulk - Erta Ale LLC",cap,0.00,"402,600.00",0.00,0.0,0.00,"403,000.00",0.00,"402,600.00"
46,BG458,Iodine Capsule - Bulk - Evexias Health Solutions,cap,0.00,"389,207.00",0.00,0.0,0.00,"390,000.00",0.00,"389,207.00"
47,BG459,YouCell RR / Relavit - Bulk - Dr. Rath Health Programs B.V.,cap,0.00,"665,500.00",0.00,0.0,0.00,"666,000.00",0.00,"665,500.00"
48,BG460,YouCell D / Diacor - Bulk - Dr. Rath Health Programs B.V.,cap,0.00,"500,500.00",0.00,0.0,0.00,"501,000.00",0.00,"500,500.00"
49,BG461,VitacorPlus - Bulk - Dr. Rath Health Programs B.V.,cap,0.00,0.00,0.00,0.0,0.00,"5,005,000.00",0.00,0.00
50,BG462,DHT Blocker Capsule - Bulk - Salva LLC,cap,0.00,"671,000.00",0.00,0.0,0.00,"660,000.00",0.00,"671,000.00"
51,BG463,Zinc Picolinate - Bulk - Vox Nutrition,cap,0.00,825.00,0.00,0.0,0.00,"825,000.00",0.00,825.00
52,BG464,Selenium 200mcg - Bulk - Vox Nutrition,thou,0.00,825.00,0.00,0.0,0.00,825.00,0.00,825.00
53,BG465,Molecular Glutathione - Bulk - Vox Nutrition,thou,0.00,825.00,0.00,0.0,0.00,825.00,0.00,825.00
54,BG466,Vitamin C - Bulk - Vox Nutrition,thou,0.00,"1,100.00",0.00,0.0,0.00,"1,100.00",0.00,"1,100.00"
55,BG467,Multivitamin + Iron Capsule - Bulk - BE Nutrition,cap,0.00,"292,019.00",0.00,0.0,0.00,"292,000.00",0.00,"292,019.00"
56,BG468,Multivitamin Capsule - Bulk - BE Nutrition,cap,0.00,"97,370.00",0.00,0.0,0.00,"98,000.00",0.00,"97,370.00"
57,BG469,Amino Acid Blend [Bulk Powder] - Bulk - PLS,thou,0.00,549.00,0.00,0.0,0.00,549.00,0.00,549.00
58,BG470,Vitodare Testo-G (Iraq Registration) - Bulk - Med Dent Company,cap,0.00,"500,500.00",0.00,0.0,0.00,"501,000.00",0.00,"500,500.00"
59,BG471,CUST-AG-BOSWIN GOLD CAPSULE - Bulk - PLS,thou,0.00,797.00,0.00,0.0,0.00,797.00,0.00,797.00
60,BG472,Prolysin C - Bulk - Dr. Rath Health Programs B.V.,cap,0.00,"1,331,000.00",0.00,0.0,0.00,"1,331,000.00",0.00,"1,331,000.00"
61,BG473,Femicell - Bulk - Dr. Rath Health Programs B.V.,cap,0.00,"391,437.00",0.00,0.0,0.00,"392,000.00",0.00,"391,437.00"
62,BG475,Joint Support Tablet - SMP,tab,0.00,"2,200.00",0.00,0.0,0.00,"2,200,000.00",0.00,"2,200.00"
63,BG476,"Magnesium Capsule - Bulk - Oxymune America, Inc.",cap,0.00,"399,300.00",0.00,0.0,0.00,"400,000.00",0.00,"399,300.00"
64,BG477,L-Theanine Capsule - Bulk - Regentec Pte Ltd.,thou,0.00,"3,300.00",0.00,0.0,0.00,400.00,0.00,"3,300.00"
65,CS#5005,Potassium Iodate,kg,158.48,119.00,0.00,0.0,39.48,0.00,0.00,0.00
66,CS#5038,L-Arginine AKG 2:1 Dihydrate,kg,4.593,0.00,4.593,0.0,0.00,0.00,0.00,0.00
67,CS#5079,L-Lysine Monohydrochloride,kg,1.878,0.00,1.878,0.0,0.00,0.00,0.00,0.00
68,CS#5089,Chromium Aspartate (Cr 2%) Aspartic Acid,kg,22.20,0.00,0.00,0.0,22.20,0.00,0.00,0.00
69,CS#5091,MCH-Cal Microcrystalline Hydroxyappetite Calcium,kg,7.50,0.00,7.50,0.0,0.00,0.00,0.00,0.00
70,CS#5157,"Nattokinase 20,000 fu/g",kg,9.757,0.00,0.00,0.0,9.757,0.00,0.00,0.00
71,CS#5170,Deep Sea Salt,kg,13.69,0.00,0.00,0.0,13.69,0.00,0.00,0.00
72,CS#5172,Vitamin K1 1%,kg,21.00,0.00,21.00,0.0,0.00,0.00,0.00,0.00
73,CS#5173,Rice Bran Meal,kg,25.737,"1,291.59583",0.00,0.0,0.00,0.00,0.00,"1,265.85883"
74,CS#5176,Whey Protein powder - Viacore,kg,20.00,0.00,20.00,0.0,0.00,0.00,0.00,0.00
75,CS#5186,Rice Bran Meal,kg,134.602,0.00,25.633,0.0,108.969,0.00,0.00,0.00
76,CS#5195,Glucose,kg,25.00,0.00,25.00,0.0,0.00,0.00,0.00,0.00
