Quality Supplement Mfg,,,,,,,
On Hand,,,,,,,
 ,,,,,,,
Part Number,Description,Qty,,Location,Tracking,,
L#484,"Nature Gains LLC, Natu Roids - 60ct Label",83.00,ea,Quarantine Labels,,,
L#486,Be Fulfilled - Exhale PM - 90 ct Label,314.00,ea,Quarantine Labels,,,
L#489,"Spartis, LLC, Immune Complex - 120 ct Label",297.00,ea,Quarantine Labels,,,
L#490,Supplement Manufacturing Partner - Juvenon Reprieve Capsule - 60 ct - Label,412.00,ea,Quarantine Labels,,,
L#491,"aSquared Brands, Methyl Folate 15mg + Glycine 250mg - 90 ct Label","3,924.00",ea,Quarantine Labels,,,
L#492,Pogue Medical Services - Free Life Labs Bio-5 - 60 ct Label,438.00,ea,Quarantine Labels,,,
L#493,"Just Jandi, LLC - Multi Collagen Complex Powder - 48 serving Label",39.00,ea,Quarantine Labels,,,
L#494,Longrich America Int'l Inc. - Cordyceps Militaris Capsule - 60 ct Label,451.00,ea,Quarantine Labels,,,
L#495,Nature Gains LLC - Natu Roids Capsule - 120 ct AMAZON BARCODE,"2,980.00",ea,Quarantine Labels,,,
L#496,Nature Gains LLC - Natu Roids Capsule - 60 ct AMAZON BARCODE,"1,130.00",ea,Quarantine Labels,,,
L#497,"Krock, LLC - Super Green Food Powder [Unflavored] - 30 serving Label",117.00,ea,Quarantine Labels,,,
L#502,Dr. Rath International Inc. - YouCell-V - 60 ct Label,312.00,ea,Quarantine Labels,,,
L#503,Mimi's Rock Corp - Dr. Tobias Adult Multivitamin - 100 ct Label,540.00,ea,Quarantine Labels,,,
L#506,Almark Products Inc (dba Doctors Premium) - Doctors Premium VitaControl - 30 ct Label,"2,324.00",ea,Quarantine Labels,,,
L#508,"Hard Iron Labs / Built by Nature, L-Carnitine 1000 mg - 60 ct Label",229.00,ea,Quarantine Labels,,,
L#509,"Hard Iron Labs / Clark Supplements, L-Carnitine 1000 mg - 60 ct Label",249.00,ea,Quarantine Labels,,,
L#510,"Hard Iron Labs / Built by Nature, L-Carnitine 1000 mg - 180 ct Label",149.00,ea,Quarantine Labels,,,
L#511,"Hard Iron Labs / Clark Supplements, L-Carnitine 1000 mg - 180 ct Label",144.00,ea,Quarantine Labels,,,
L#512,Naxtra LLC - Multi Supplement - 60 ct Label,"2,084.00",ea,Quarantine Labels,,,
L#513,Big Health LLC - Flexacil - 60 ct Label,"6,017.00",ea,Quarantine Labels,,,
PS#10016-COMAR,200cc Clear PET PZ Bottle 38-400 335/case,"4,980.00",ea,Quarantine Packaging Materials,"Lot#: 22217551
",,
PS#10026,38-400 Black Ribbed Lid - Heat Inductive Liner Matte Top 2900/case,"11,600.00",ea,Quarantine Packaging Materials,"Lot#: 202102598763
",,
PS#10065,10 gram Desiccants,"6,000.00",ea,Quarantine Packaging Materials,"Lot#: 12/08/2021
",,
PS#10161-ALPHA,250cc Black PET Bottles 45-400 neck finish,270.00,ea,Quarantine Packaging Materials,"Lot#: M210620
",,
PS#10179,".05x67x500M Clear with black print ""S4YP"" & Vert. Perforation",4.00,ea,Quarantine Packaging Materials,"Lot#: 10192
",,
PS#10192,.05x77x500M Clear w/vertical perf rollstock,12.00,ea,Quarantine Packaging Materials,,,
PS#10253,COMAR - 225cc Dark Amber PET Bottle 45-400 (PX),"6,700.00",ea,Quarantine Packaging Materials,"Lot#: 23786293
",,
PS#10369,11x8x4 Box,"1,800.00",ea,Quarantine Packaging Materials,,,
PS#10415,".05x77x500 Roll Clear W/Black Print ""SFYP"" W/Vertical Perf",4.00,ea,Quarantine Packaging Materials,"Lot#: 10415
",,
R010,Silicon Dioxide,132.342,kg,Quarantine Powders/ Receiving,"ExpDate: 2023-06-01

Lot#: 17501
",,
R036,Methylsulfonylmethane (MSM 40 Mesh),250.00,kg,Quarantine Powders/ Receiving,"ExpDate: 2025-04-15

Lot#: 21042001
",,
R036,Methylsulfonylmethane (MSM 40 Mesh),350.00,kg,Quarantine Powders/ Receiving,"ExpDate: 2025-05-15

Lot#: 21052003
",,
R038,Chondroitin Sulfate (Bovine),"1,074.88",kg,Quarantine Powders/ Receiving,"ExpDate: 2024-10-31

Lot#: NIGCSB-2110V296421
",,
R047,Magnesium Citrate 16%,224.845,kg,Quarantine Powders/ Receiving,"ExpDate: 2024-10-14

Lot#: T20211013
",,
R054,Bromelain 2400 GDU / g,108.195,kg,Quarantine Powders/ Receiving,"ExpDate: 2023-02-27

Lot#: 20210227
",,
R055,Boswellia Serrata 65%,25.00,kg,Quarantine Powders/ Receiving,"ExpDate: 2024-01-09

Lot#: NIGEHR007201
",,
R055,Boswellia Serrata 65%,25.00,kg,Quarantine Powders/ Receiving,"ExpDate: 2024-06-08

Lot#: RXS-210609
",,
R1095,Cyanotis Vaga Extract 95% 20-Hydroxyecdysome (beta-Ecdysterone) UV,50.00,kg,Quarantine Powders/ Receiving,"ExpDate: 2023-10-31

Lot#: 20211027
",,
R1098,Vitamin K2 MK-7 1% MCC,1.845,kg,Quarantine Powders/ Receiving,"ExpDate: 2023-03-08

Lot#: 20210308
",,
R118,BioPerine® (Black Pepper Extract),32.652,kg,Quarantine Powders/ Receiving,"ExpDate: 2026-10-30

Lot#: C212038
",,
R1197,Carboxymethyl Cellulose Gum (Non-GMO),22.67,kg,Quarantine Powders/ Receiving,"ExpDate: 2022-03-31

Lot#: 1200306
",,
R1245,L-Leucine (Vegetarian Source),25.00,kg,Quarantine Powders/ Receiving,"ExpDate: 2023-07-24

Lot#: BLS20200723046
",,
R1367,Gymnema Sylvestre Extract (25% Gymnemic Acid) (leaf) (COO: Non-Chinese),149.845,kg,Quarantine Powders/ Receiving,"ExpDate: 2024-02-29

Lot#: NBT-20756
",,
R1371,Testofen® Fenugreek extract (standardized for 50% Fenuside™),9.811,kg,Quarantine Powders/ Receiving,"ExpDate: 2024-06-21

Lot#: FETS210605(E)
",,
R1383,"VegD3™ (100,000 IU/g)",0.845,kg,Quarantine Powders/ Receiving,"ExpDate: 2023-01-12

Lot#: 16113A1
",,
R1384,Soy Isoflavones Extract 40%,19.845,kg,Quarantine Powders/ Receiving,"ExpDate: 2024-06-11

Lot#: CDD-C-A102573
",,
R1386,Dong Quai (1% Extract)(root),29.845,kg,Quarantine Powders/ Receiving,"ExpDate: 2023-12-22

Lot#: CDG-C-A021190
",,
R1387,Sage (2.5% extract)(leaf),39.845,kg,Quarantine Powders/ Receiving,"ExpDate: 2024-05-22

Lot#: CSWC-C-A102496
",,
R1389,"Vitamin D3 Cholecalciferol (Lichen Algae) [100,000 IU/g]",4.00,kg,Quarantine Powders/ Receiving,"ExpDate: 2023-06-30

Lot#: 161241
",,
R1391,AvailOm® 50 High EPA,7.45,kg,Quarantine Powders/ Receiving,"ExpDate: 2023-12-19

Lot#: 8095191004
",,
R158,"Cayenne Pepper Powder (Capsicum annuum) 40,000 hu/g",39.845,kg,Quarantine Powders/ Receiving,"ExpDate: 2023-11-29

Lot#: CLJ-C-A007725
",,
R188,L-Taurine,24.845,kg,Quarantine Powders/ Receiving,"ExpDate: 2023-12-26

Lot#: XK20123118
",,
R221,Vitamin B2 Riboflavin,24.845,kg,Quarantine Powders/ Receiving,"ExpDate: 2023-04-19

Lot#: HS200443
",,
R273,Zinc Citrate 30%,25.00,kg,Quarantine Powders/ Receiving,"ExpDate: 2024-04-30

Lot#: 04210501
",,
R308,Chromium Aminomin 10%,5.00,kg,Quarantine Powders/ Receiving,"ExpDate: 2022-10-31

Lot#: 1027455
",,
R390,Zinc Picolinate 20%,99.845,kg,Quarantine Powders/ Receiving,"ExpDate: 2026-01-31

Lot#: 312022021
",,
R458,Fumaric Acid,25.00,kg,Quarantine Powders/ Receiving,"ExpDate: 2024-06-30

Lot#: 20210620
",,
R464,Rutin,8.07,kg,Quarantine Powders/ Receiving,"ExpDate: 2022-12-13

Lot#: JLD-T-111214
",,
R492,Ginpure® Ginger Extract 20% Gingerols,24.845,kg,Quarantine Powders/ Receiving,"ExpDate: 2023-10-31

Lot#: M081700214
",,
R505,Potassium Gluconate 16%,100.00,kg,Quarantine Powders/ Receiving,"ExpDate: 2023-07-31

Lot#: 0320005
",,
R599,Calcium Ascorbate,24.845,kg,Quarantine Powders/ Receiving,"ExpDate: 2022-12-07

Lot#: 320124216
",,
R732,Turmeric Extract 95% Curcuminoids - Natural,99.848,kg,Quarantine Powders/ Receiving,"ExpDate: 2023-10-01

Lot#: JH211001
",,
R732,Turmeric Extract 95% Curcuminoids - Natural,100.00,kg,Quarantine Powders/ Receiving,"ExpDate: 2023-09-24

Lot#: JH212509
",,
R819,Bilberry Fruit Extract (25% anthocyanosides) (Vaccinium myrtillus),9.154,kg,Quarantine Powders/ Receiving,"ExpDate: 2024-03-29

Lot#: EB202103006
",,
R860,KSM-66® Ashwagandha (Std. to 5% Withanolides),74.845,kg,Quarantine Powders/ Receiving,"ExpDate: 2024-09-30

Lot#: KSM/VG/21/S502
",,
R946,Organic Cleavers Herb Powder,25.00,kg,Quarantine Powders/ Receiving,"ExpDate: 2024-11-09

Lot#: HK211105
",,
BG121,5-HTP - Bulk - Vox Nutrition,"5,232,750.00",cap,Shipping,"ExpDate: 2024-09-30

Lot#: HTP12001
",,
BG351,Turmeric w/ Ginger (Organic Ingredients) - Bulk - Vox Nutrition,688.00,cap,Shipping,"ExpDate: 2024-04-30

Lot#: TWG11965
",,
BG351,Turmeric w/ Ginger (Organic Ingredients) - Bulk - Vox Nutrition,"5,235,485.00",cap,Shipping,"ExpDate: 2024-09-30

Lot#: TWG12087
",,
BG351,Turmeric w/ Ginger (Organic Ingredients) - Bulk - Vox Nutrition,"4,799,943.00",cap,Shipping,"ExpDate: 2024-09-30

Lot#: TWG12031
",,
BG351,Turmeric w/ Ginger (Organic Ingredients) - Bulk - Vox Nutrition,"5,486,198.00",cap,Shipping,"ExpDate: 2024-09-30

Lot#: TWG12030
",,
FG021,5-HTP - PLN,638.00,ea,Shipping,"ExpDate: 2018-02-23

Lot#: 00000
",,
PS#10078,Econo - Wrapper (pallets shrink wrap) 18 x 1500 - 4rl / case,17.00,ea,Shipping,,,
PS#10079,Edge Protectors 2 x 2 x 48 White 80 / case,"3,120.00",ea,Shipping,,,
PS#10110,20� x 5000� 80ga machine film,7.00,ea,Shipping,,,
BG126,"Collagen Recovery Complex - Bulk - Truth Skin Health, Inc",103.00,thou,"Staging, Pull and weigh","ExpDate: 2021-01-01

Lot#: 11184
",,
BG340,Keto Coffee Creamer Powder (Chocolate) - Bulk - Priority Unlimited,1.00,kg,"Staging, Pull and weigh","ExpDate: 2023-03-31

Lot#: 03292021-RD
",,
BG419,"Multi Collagen Complex Powder - Bulk - Just Jandi, LLC",1.00,kg,"Staging, Pull and weigh","ExpDate: 2023-04-30

Lot#: 11870-Sample
",,
FG553,Collagen + Bone Support - 90 ct - Sunni Health,"2,850.00",btl,"Staging, Pull and weigh","ExpDate: 2023-01-31

Lot#: 11820
",,
R005,Stearic Acid,62.08,kg,"Staging, Pull and weigh","ExpDate: 2023-10-22

Lot#: 232010702509119
",,
R1139,Organic Grape Seed Extract (95% Proanthocyanidins),5.965,kg,"Staging, Pull and weigh","ExpDate: 2022-02-01

Lot#: HK200302
",,
R205,Gotu Kola Herb Powder,0.049,kg,"Staging, Pull and weigh","ExpDate: 2022-02-23

Lot#: CJXC-A-902156
",,
R231,N-Acetyl L-Carnitine HCl,9.40,kg,"Staging, Pull and weigh","ExpDate: 2022-01-11

Lot#: ALC20071201
",,
R314,Watercress Leaf Powder,13.00,kg,"Staging, Pull and weigh","ExpDate: 2022-10-31

Lot#: 201021
",,
R830,L-Tryptophan,2.08,kg,"Staging, Pull and weigh","ExpDate: 2022-11-16

Lot#: 20201117
",,
R065,Vitamin B12 Pure Cyanocobalamin,0.806,kg,Stock Bin # A0,"ExpDate: 2026-05-27

Lot#: 012105050
",,
R1346,Natural Mixed Carotenoids 10% Powder (Vitamin A),2.138,kg,Stock Bin # A0,"ExpDate: 2024-06-30

Lot#: NIGMICA10-2106V299002
",,
R1366,"Lumbrokinase 20,000 FU/g",0.205,kg,Stock Bin # A0,"ExpDate: 2023-09-17

Lot#: BP20210918005
",,
R236,Biotin Pure (Vitamin B7),0.17,kg,Stock Bin # A0,"ExpDate: 2023-11-09

Lot#: 01201206
",,
R568,Vitamin B12 Pure Methylcobalamin,0.097,kg,Stock Bin # A0,"ExpDate: 2024-07-16

Lot#: 032108010
",,
R050,00 Vcaps Plus Clear Capsules,"2,100,000.00",ea,Stock Bin # A1,"ExpDate: 2026-11-28

Lot#: 9051398
",,
R050,00 Vcaps Plus Clear Capsules,"1,400,000.00",ea,Stock Bin # A10,"ExpDate: 2026-11-24

Lot#: 9051506
",,
R442,Methylene Chloride,80.00,gal,Stock Bin # A10,"ExpDate: 2023-11-15

Lot#: 84852-01
",,
R050,00 Vcaps Plus Clear Capsules,"2,100,000.00",ea,Stock Bin # A11,"ExpDate: 2026-11-28

Lot#: 9051451
",,
R050,00 Vcaps Plus Clear Capsules,"700,000.00",ea,Stock Bin # A12,"ExpDate: 2026-11-24

Lot#: 9051506
",,
R050,00 Vcaps Plus Clear Capsules,"700,000.00",ea,Stock Bin # A12,"ExpDate: 2026-11-27

Lot#: 9051339
",,
R063,Isopropyl Alcohol,220.00,gal,Stock Bin # A12,"ExpDate: 2023-11-15

Lot#: 18AK509874
",,
R441,Methanol,165.00,gal,Stock Bin # A12,"ExpDate: 2024-12-03

Lot#: 20251432
",,
R442,Methylene Chloride,55.00,gal,Stock Bin # A12,"ExpDate: 2024-12-03

Lot#: 84852-01
",,
R050,00 Vcaps Plus Clear Capsules,"2,100,000.00",ea,Stock Bin # A13,"ExpDate: 2026-11-28

Lot#: 9051451
",,
R619,0 Red/White Gelatin Capsules with Logo,"300,000.00",ea,Stock Bin # A13,"ExpDate: 2022-09-25

Lot#: 7152147
",,
R050,00 Vcaps Plus Clear Capsules,"1,400,000.00",ea,Stock Bin # A14,"ExpDate: 2026-11-27

Lot#: 9051339
",,
R050,00 Vcaps Plus Clear Capsules,"2,100,000.00",ea,Stock Bin # A15,"ExpDate: 2026-11-28

Lot#: 9051451
",,
R050,00 Vcaps Plus Clear Capsules,"1,400,000.00",ea,Stock Bin # A16,"ExpDate: 2026-11-27

Lot#: 9051339
",,
R050,00 Vcaps Plus Clear Capsules,"2,100,000.00",ea,Stock Bin # A17,"ExpDate: 2026-11-28

Lot#: 9051504
",,
R1270,00 Goh-Veg™ White HPMC vegetable capsules (titanium dioxide free),"140,000.00",ea,Stock Bin # A17,"ExpDate: 2025-01-31

Lot#: SV919121530
",,
R796,00 (Delayed Release) DRcaps Vegetable Clear Capsules,"210,000.00",ea,Stock Bin # A17,"ExpDate: 2025-03-11

Lot#: 9043236
",,
R050,00 Vcaps Plus Clear Capsules,"1,400,000.00",ea,Stock Bin # A18,"ExpDate: 2026-11-27

Lot#: 9051339
",,
R050,00 Vcaps Plus Clear Capsules,"2,100,000.00",ea,Stock Bin # A19,"ExpDate: 2026-11-28

Lot#: 9051504
",,
R050,00 Vcaps Plus Clear Capsules,"1,400,000.00",ea,Stock Bin # A20,"ExpDate: 2026-11-27

Lot#: 9051339
",,
R050,00 Vcaps Plus Clear Capsules,"2,100,000.00",ea,Stock Bin # A21,"ExpDate: 2026-11-28

Lot#: 9051504
",,
R965,0 Gelatin Capsule Black Body 1975.01 and Pink Cap 4312.01,"300,000.00",kg,Stock Bin # A21,"ExpDate: 2025-06-30

Lot#: 7165882
",,
R965,0 Gelatin Capsule Black Body 1975.01 and Pink Cap 4312.01,"800,000.00",kg,Stock Bin # A21,"ExpDate: 2025-07-01

Lot#: 7170311
",,
R991,0 Gelatin Black Op Body 1975 and Gray OP Cap 7989 Capsules,"700,000.00",kg,Stock Bin # A21,"ExpDate: 2024-07-01

Lot#: 7171141
",,
R991,0 Gelatin Black Op Body 1975 and Gray OP Cap 7989 Capsules,"500,000.00",kg,Stock Bin # A21,"ExpDate: 2024-07-01

Lot#: 7166816
",,
CS#5275,00 Gelatin Clear / Clear,"45,000.00",ea,Stock Bin # A22,"ExpDate: 2025-08-29

Lot#: 820081857
",,
R050,00 Vcaps Plus Clear Capsules,"1,050,000.00",ea,Stock Bin # A22,"ExpDate: 2026-11-27

Lot#: 9051339
",,
R078,0 Vcaps Plus White Capsules,"47,554.00",ea,Stock Bin # A22,"ExpDate: 2023-09-26

Lot#: V0C5C52-84209
",,
R082,0 Gelatin Clear Capsules,"70,000.00",ea,Stock Bin # A22,"ExpDate: 2026-09-30

Lot#: 0051A051A-200823VN
",,
R082,0 Gelatin Clear Capsules,"115,000.00",ea,Stock Bin # A22,"ExpDate: 2026-09-30

Lot#: 0051A051A-202113VN
",,
R511,0 Gelatin Blue 0570.01 Capsules,"30,000.00",ea,Stock Bin # A22,"ExpDate: 2024-09-02

Lot#: 7163736
",,
R538,0 Plantcaps Clear Capsules,"150,000.00",ea,Stock Bin # A22,"ExpDate: 2025-06-07

Lot#: 7176455
",,
R538,0 Plantcaps Clear Capsules,"80,000.00",ea,Stock Bin # A22,"ExpDate: 2025-06-28

Lot#: 7170800
",,
R050,00 Vcaps Plus Clear Capsules,"2,100,000.00",ea,Stock Bin # A23,"ExpDate: 2026-11-28

Lot#: 9051501
",,
R1001,00 Gelatin Lt Blue Op 0570 Body/Black Op 1975 Cap,"1,050,000.00",kg,Stock Bin # A23,"ExpDate: 2024-11-30

Lot#: 7167810
",,
R003,0 Vcaps Clear Capsules,"2,000,000.00",ea,Stock Bin # A24,"ExpDate: 2026-10-06

Lot#: 9050810
",,
R050,00 Vcaps Plus Clear Capsules,"2,100,000.00",ea,Stock Bin # A25,"ExpDate: 2026-11-28

Lot#: 9051501
",,
R1233,00 K-CAPS Vegetable Origin Capsules,"2,400,000.00",ea,Stock Bin # A25,"ExpDate: 2026-08-30

Lot#: KC210320100
",,
R1246,0 Gelatin Light Green Opaque 8713 Capsules,"98,000.00",ea,Stock Bin # A25,"ExpDate: 2025-08-30

Lot#: 7179127
",,
R433,00 Gelatin Blue 0570.01 Capsules,"28,373.00",ea,Stock Bin # A25,"ExpDate: 2025-09-07

Lot#: 7179266
",,
R486,00 Gelatin Swedish Orange 0191.01 Capsules,"10,000.00",ea,Stock Bin # A25,"ExpDate: 2023-07-01

Lot#: 7159879
",,
R549,00 Gelatin Black 8908.01 Capsules,"10,000.00",ea,Stock Bin # A25,"ExpDate: 2024-05-22

Lot#: 7166295
",,
R549,00 Gelatin Black 8908.01 Capsules,"70,000.00",ea,Stock Bin # A25,"ExpDate: 2025-07-01

Lot#: 7163964
",,
R549,00 Gelatin Black 8908.01 Capsules,"40,000.00",ea,Stock Bin # A25,"ExpDate: 2024-08-17

Lot#: 7168225
",,
R734,00 Gelatin Black Opaque 1975.01/ Red Opaque 1244.01 Capsules,"40,000.00",ea,Stock Bin # A25,"ExpDate: 2023-12-06

Lot#: 7159420
",,
R734,00 Gelatin Black Opaque 1975.01/ Red Opaque 1244.01 Capsules,"130,000.00",ea,Stock Bin # A25,"ExpDate: 2025-07-09

Lot#: 7175864
",,
R802,00 Gelatin Orange Opaque 3185.01 Capsules,"30,000.00",ea,Stock Bin # A25,"ExpDate: 2025-07-01

Lot#: 7170998
",,
R850,00 Gelatin Purple Opaque 3473.01 Capsules,"30,000.00",ea,Stock Bin # A25,"ExpDate: 2024-08-06

Lot#: 7168224
",,
R986,00 Swedish Orange Op. Cap 0191.01/ White Op. Body 0999.01 Gelatin Capsules,"70,000.00",kg,Stock Bin # A25,"ExpDate: 2024-06-30

Lot#: 7160355
",,
R539,00 Plantcaps Clear Capsules,"70,000.00",ea,Stock Bin # A26,"ExpDate: 2026-01-12

Lot#: 7181409
",,
R050,00 Vcaps Plus Clear Capsules,"2,100,000.00",ea,Stock Bin # A27,"ExpDate: 2026-11-28

Lot#: 9051501
",,
R050,00 Vcaps Plus Clear Capsules,"1,400,000.00",ea,Stock Bin # A28,"ExpDate: 2026-11-27

Lot#: 9051485
",,
R050,00 Vcaps Plus Clear Capsules,"2,100,000.00",ea,Stock Bin # A29,"ExpDate: 2026-11-27

Lot#: 9051485
",,
R1233,00 K-CAPS Vegetable Origin Capsules,"975,000.00",ea,Stock Bin # A29,"ExpDate: 2026-08-30

Lot#: KC210320100
",,
R1233,00 K-CAPS Vegetable Origin Capsules,"1,200,000.00",ea,Stock Bin # A29,"ExpDate: 2026-09-30

Lot#: KC210324647
",,
R050,00 Vcaps Plus Clear Capsules,"2,100,000.00",ea,Stock Bin # A3,"ExpDate: 2026-11-28

Lot#: 9051398
",,
R050,00 Vcaps Plus Clear Capsules,"700,000.00",ea,Stock Bin # A30,"ExpDate: 2026-11-27

Lot#: 9051485
",,
R082,0 Gelatin Clear Capsules,"700,000.00",ea,Stock Bin # A30,"ExpDate: 2026-09-30

Lot#: C2100321019
",,
R1233,00 K-CAPS Vegetable Origin Capsules,"1,500,000.00",ea,Stock Bin # A30,"ExpDate: 2026-09-30

Lot#: KC210324323
",,
R050,00 Vcaps Plus Clear Capsules,"2,100,000.00",ea,Stock Bin # A31,"ExpDate: 2026-11-27

Lot#: 9051485
",,
R082,0 Gelatin Clear Capsules,"2,400,000.00",ea,Stock Bin # A32,"ExpDate: 2026-09-30

Lot#: C2100322000
",,
R1233,00 K-CAPS Vegetable Origin Capsules,"900,000.00",ea,Stock Bin # A32,"ExpDate: 2026-09-30

Lot#: KC210324323
",,
R1233,00 K-CAPS Vegetable Origin Capsules,"900,000.00",ea,Stock Bin # A32,"ExpDate: 2026-08-30

Lot#: KC210320344
",,
R050,00 Vcaps Plus Clear Capsules,"2,100,000.00",ea,Stock Bin # A33,"ExpDate: 2026-11-27

Lot#: 9051485
",,
R1233,00 K-CAPS Vegetable Origin Capsules,"225,000.00",ea,Stock Bin # A33,"ExpDate: 2026-08-30

Lot#: KC210320100
",,
R1174,Organic Burdock Root Powder (Origin: Non-Chinese),25.312,kg,Stock Bin # A34,"ExpDate: 2023-06-22

Lot#: OBRP-06222021
",,
R1176,Organic Bladderwrack Powder (Origin: Non-Chinese),6.1733,kg,Stock Bin # A34,"ExpDate: 2023-01-10

Lot#: 20210411
",,
R1350,Organic Raspberry Leaf Extract 10:1,27.535,kg,Stock Bin # A34,"ExpDate: 2023-08-08

Lot#: HK210809
",,
R1352,Organic Cordyceps Mushroom Extract 1:1 [Cordyceps milltaris][Fruiting Body],20.79,kg,Stock Bin # A34,"ExpDate: 2023-02-18

Lot#: OCOE-20210218
",,
R1353,"Organic Chaga Extract 1:1 [Inonotus obliquus][Sterile conk,canker]",10.02,kg,Stock Bin # A34,"ExpDate: 2022-11-07

Lot#: OCEP-2020-1108
",,
R1355,Organic Turkey Tail Mushroom Extract 1:1 [Trametes versicolor][Coriolus],20.77,kg,Stock Bin # A34,"ExpDate: 2023-02-10

Lot#: OTTE-20210210
",,
R1356,Organic Red Reishi Mushroom Extract 1:1 [Ganoderma lucidum][lingzhi],20.71,kg,Stock Bin # A34,"ExpDate: 2023-06-20

Lot#: ORME-2021-06-20
",,
R1357,Organic Shiitake mushroom extract 1:1 [Lentinula edodes],21.199,kg,Stock Bin # A34,"ExpDate: 2023-05-18

Lot#: OSME-20210518
",,
R1358,Organic Maitake mushroom extract 1:1 [Grifola frondosa],19.992,kg,Stock Bin # A34,"ExpDate: 2023-05-01

Lot#: OMEP-2021-05-01
",,
R1365,Organic Celery Extract 4:1,3.50,kg,Stock Bin # A34,"ExpDate: 2024-02-23

Lot#: ZL20210202CR
",,
R945,Organic Pau D'Arco Powder,2.20,kg,Stock Bin # A34,"ExpDate: 2024-08-31

Lot#: PA20180615
",,
R950,Organic Astragalus Powder,8.611,kg,Stock Bin # A34,"ExpDate: 2024-04-06

Lot#: 20210407
",,
R1006,Organic Holy Basil Powder,16.543,kg,Stock Bin # A35,"ExpDate: 2021-11-30

Lot#: HP-FUP-1911035
",,
R1024,Organic Hydrangea Root Powder,15.623,kg,Stock Bin # A35,"ExpDate: 2022-03-13

Lot#: 93701-50
",,
R1074,Organic Damiana,18.65,kg,Stock Bin # A35,"ExpDate: 2023-08-15

Lot#: DMA-20021145
",,
R1089,Organic Cranberry (Fruit) Extract 50:1,7.898,kg,Stock Bin # A35,"ExpDate: 2022-12-05

Lot#: 201905034
",,
R1142,Organic American Panax Ginseng,13.00,kg,Stock Bin # A35,"ExpDate: 2022-03-04

Lot#: HK200305
",,
R1178,Organic Saffron Extract 10:1,5.35,kg,Stock Bin # A35,"ExpDate: 2022-06-09

Lot#: TM20200610
",,
R1191,Organic Elderberry Fruit Powder (Sambucus nigra),31.00,kg,Stock Bin # A35,"ExpDate: 2023-04-29

Lot#: CJGM-C-A007192
",,
R1193,Organic Nopal (Cactus) Opuntia ficus-indica) (cladode),20.10,kg,Stock Bin # A35,"ExpDate: 2022-08-03

Lot#: MEOG6670030A
",,
R1232,Certified Organic Coconut Oil Powder 60% (CONN40001),6.906,kg,Stock Bin # A35,"ExpDate: 2022-07-26

Lot#: 0241121020
",,
R1247,Organic Black Pepper Powder,13.75,kg,Stock Bin # A35,"ExpDate: 2023-05-01

Lot#: ZOBLPPP4694
",,
R1264,Organic Cordyceps (Cordyceps sinensis),18.672,kg,Stock Bin # A35,"ExpDate: 2022-07-25

Lot#: CMCC-A-718024
",,
R1265,Organic Reishi Mushroom,18.80,kg,Stock Bin # A35,"ExpDate: 2023-04-13

Lot#: 20200402-W08
",,
R1269,Organic Black Cumin Seed Nutri-Pwd,2.678,kg,Stock Bin # A35,"ExpDate: 2022-01-20

Lot#: BCGSO200121-F org
",,
R1322,Organic Ginkgo Biloba P.E. 50:1,4.71,kg,Stock Bin # A35,"ExpDate: 2023-02-02

Lot#: YNAT-HK2010203R
",,
R736,Organic Maca Root Powder,8.036,kg,Stock Bin # A35,"ExpDate: 2023-10-14

Lot#: LH200001MKF
",,
R791,Nu-FLOW™ Organic Brown Rice Concentrate,17.37,kg,Stock Bin # A35,"ExpDate: 2022-03-29

Lot#: 085-20EU
",,
R863,Organic Irish Moss Powder,93.00,kg,Stock Bin # A35,"ExpDate: 2022-08-10

Lot#: OIME-2020-0811
",,
R896,Organic Sunflower Lecithin,3.602,kg,Stock Bin # A35,"ExpDate: 2024-01-31

Lot#: 20180618
",,
R913,Clove Powder (Flower) (Organic),5.573,kg,Stock Bin # A35,"ExpDate: 2022-07-24

Lot#: 19G203-948
",,
R913,Clove Powder (Flower) (Organic),15.338,kg,Stock Bin # A35,"ExpDate: 2022-02-28

Lot#: ZOCLOVP3683
",,
R914,Cordyceps Mushroom P.E. (4% Cordyceps Acids)(Organic),23.97,kg,Stock Bin # A35,"ExpDate: 2023-08-11

Lot#: 20181101
",,
R916,Garlic Extract 20:1 (Organic),21.816,kg,Stock Bin # A35,"ExpDate: 2022-09-23

Lot#: CDAS-C-911251
",,
R920,Neem Leaf Powder (Organic),12.00,kg,Stock Bin # A35,"ExpDate: 2022-07-31

Lot#: 1141/1718
",,
R923,Silymarin (from Organic Milk Thistle Extract),23.50,kg,Stock Bin # A35,"ExpDate: 2022-08-06

Lot#: MT19080780
",,
R924,Triphala Powder (organic),2.2675,kg,Stock Bin # A35,"ExpDate: 2023-03-13

Lot#: P87256
",,
R924,Triphala Powder (organic),24.243,kg,Stock Bin # A35,"ExpDate: 2025-03-24

Lot#: SNE/DE/06TP/0525/20
",,
R924,Triphala Powder (organic),0.098,kg,Stock Bin # A35,"ExpDate: 2022-07-01

Lot#: 93324-53
",,
R925,Uva Ursi Leaf Powder (Organic),0.507,kg,Stock Bin # A35,"ExpDate: 2022-09-10

Lot#: 95106-53
",,
R948,Organic Marigold Flower Powder,13.96,kg,Stock Bin # A35,"ExpDate: 2023-08-01

Lot#: HK210802
",,
